UserID,ItemID,Rating
A3L2UZLJZKDUTY,B000095SB4,3
A2HC94KQKVGIA1,B009LL9VDG,5
A1HFT68GJ42LTM,B00EOI2SR2,3
AB07GJWJBDAQ2,B004G6002M,5
A1T1YSCDW0PD25,B000M2GYF6,5
A18HE80910BTZI,B008YDUTRO,3
A2GAX9G9ANHFT8,B0002KVQBA,5
A3QNQQKJTL76H0,B00BFO14W8,5
A1EH2S92FHWZRP,B003ES5ZUU,5
A2FA749WEY82I3,B003XM1WE0,5
A37A5MO133QN2H,B0076AYNXM,4
AG82E6H4S6OS6,B003FSTAGY,4
A37D1ZP8GBHE38,B003AM8S3G,5
A2UQIQUOAB47OT,B00DR8LAE2,4
A2II4B6CJ4O47Q,B0002UM0JW,5
AB8R8Y6OQV619,B0043EV20Q,1
A1KDUQ2HU0WD68,B00B8KJGY2,5
A3SGRYIICHGMX,B007ULGT8Y,4
A2IMGHMF0LO151,B007FPIQ0E,4
A39GD9S0DEQNLD,B005LDLP8W,5
AR4Y501FFAJHM,B004KSQANO,5
A34DQINHT6NYJU,B005NFG1MS,4
A3N5S2CCIXYOUB,B003LSTD38,5
A953531PD5E3W,B000HPV3RW,5
A35FQ1CFU3FAAG,B005J7YA3W,5
A4HV1JDH6VNMG,B006W8U2MU,5
A3RNNHT8T1I5ZR,B004NBZ98K,5
A3ADKW0YREZD52,B004GW25WY,4
A1G16IP3PH7RUA,B004T9RR4A,5
A1MFPAM9TTRTXN,B000J01I1G,5
AFQBS241UKPAZ,B00BEHQKPC,4
A12ESGQ81M70JX,B00006JN3G,5
A4PYOAQ2GH8FQ,B009SYZ8OC,5
A39D7ONPOORMUT,B005OU6D3Y,4
A2ML3T9GRSNH14,B0045FM6SU,1
A4H4KYSM2KQ85,B000H4CLXS,5
A1H6SBO7R007I8,B00BGA9WK2,5
A2JE071UW97J2A,B002K3Z3DO,5
A2P0N9VQK6EXPS,B002HWRJY4,5
AMRMK86X3PKXD,B004CLYEFK,5
AOI2MD752ZWFU,B002M38I2U,5
A1UHIEEEM83PFT,B0088LYCZC,5
A1LJ1L00Z8DBF3,B002JCSCYS,5
A38OCDJQOAQ2XG,B0012GQZZU,5
A1DBA5DSNARK9R,B00426C57O,5
A3RUY3TH5FNNDK,B004M18O60,5
A33CNFK776MTWR,B003S6AXVO,3
A235UFZGCFN3J5,B000RHZJN4,5
A1B0NL8UWAELI7,B0007DDK7A,4
A3FFZQKCA7UOYY,B0009RGLSE,5
A174X7S1J75AZ3,B009NHAEXE,5
AEASNN4Z1IWB2,B00E98O7GC,5
A1IU7S4HCK1XK0,B002SEUX7Q,4
AZ515FFZ7I2P7,B001S4OTS6,5
A30KPB2ILF6K6J,B003ES5ZR8,4
A145LBW8ZHF0TW,B000067RC4,5
A1ZJ8BWVM5L5GW,B000E6G9RI,1
AYW1TGDCP2OK6,B002VJL0OS,5
A39M1VLKHWD3EO,B00CTUIT20,3
A25UZ7MA72SMKM,B008MWBY6W,4
A2K6H0GJA067E4,B003MX4D0U,1
A2YONGV9OTUG36,B005X1Y7I2,5
A56AUIA2KJ3KQ,B004LEAYXY,5
AC6Z7DP1Z5GHD,B002UVNW5W,4
A1EZMU02XNK3DA,B00EOI2SR2,5
AQCJWSMSURQI2,B0088PPFP4,4
A1QQDHM5YMLQ8Z,B003ZSHNCC,5
AONUCJBC85BL,B004Q3R9B0,5
A1K73H16UK8XU4,B00004T8R2,5
A1MWTILB9DZSLZ,B003ES5ZSW,4
A2HI35H2BOCV9R,B001MT8J4W,5
AHGYNZ1588WLB,B002ZCXJZE,5
A2JXVM40EIV9F6,B005HMKKH4,5
A3RNSX8VKC38WA,B00EHDZMFO,1
A2M1MNG7G40V85,B006YTZUA6,4
AD1MRUOBFE8FG,B002SGATH8,4
A2BCB516A8HV6K,B002MU1ZRS,5
A2NB2E5DXE319Z,B006TF37H8,4
A2ZAWPWLLTOHNK,B000VDCT3C,5
A1MFAPVBW9BEGD,B001S4OTS6,5
AV1F8VNJPLPTL,B00DUTIZJG,5
A5Q1FK0FWU7DH,B005IA844Q,5
A12ANFNOSMW5VD,B00JY4QCJQ,3
A3977M5S0GIG5H,B002S53LJ2,5
A3QJU4FEN8PQSZ,B00192KCAG,3
